Type,Sentences,Edits,,,,,,,,,,
Adverb,15,,,,,,S. No.,Error Type,Number of Samples,,S No.,Broad Type
Karak,22,,,,,,1,VERB,60,,R,308
Kram,26,,,,,,2,PRON,49,,U,39
Ling,35,T,,,,,3,VERB-GEN,39,,M,8
Misc,12,T,,,,,4,ADP,31,,Total,355
Noun,28,T,,,,,5,NOUN,26,,,
Pronoun,39,T,,,,,6,ADJ,26,,,
UP Board,105,,,,,,7,OTHER,24,,,
Vachan,29,,,,,,8,WO,23,,,
Verb,38,,,,,,9,VERB-NUM,21,,,
Visheshan,35,,,,,,10,PRON-GEN,14,,,
New,28,,,,,,11,ADJ-GEN,13,,,
Total,412,V1,307,,,,12,NOUN-NUM,10,,,
,,,,,,,13,SPELL,7,,,
Tejas,,,,,,,14,PUNCT,3,,,
RBSE,,,,,,,15,ADJ-NUM,3,,,
Vachan,15,,,,,,16,PRON-NUM,3,,,
Padkram,4,,,,,,17,ORTH,2,,,
Misc,97,,,,,,18,NOUN-GEN,1,,,
Ling,10,,,,,,Total,,355,,,
Karak ,8,,,,,,,,,,,
Total,134,,,,,,,,,,,
,,,,,,,,,,,,
,546,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,S. No.,Error Type,Number of Samples,Percentage,,
,,,,,,,1,VERB,120,31.57894737,,
,,,,,,,2,PRON,66,17.36842105,,
,,,,,,,3,ADJ,42,11.05263158,,
,,,,,,,4,NOUN,37,9.736842105,,
,,,,,,,5,ADP,31,8.157894737,,
,,,,,,,6,OTHER,24,6.315789474,,
,,,,,,,7,WO,23,6.052631579,,
,,,,,,,8,SPELL,21,5.526315789,,
,,,,,,,9,PUNCT,16,4.210526316,,
,,,,,,,Total,,380,100,,
